City,Lat,Lng,Humidity,Cloudiness,WindSpeed,Temps
tucurui,-3.77,-49.67,74,51,1.99,80.46
tucuma,-0.18,-50.05,85,92,8.32,79.03
angoram,-4.06,144.07,84,98,2.37,81.7
rio grande,-32.03,-52.1,73,1,12.46,59.72
mahebourg,-20.41,57.7,78,75,6.93,71.6
merauke,-8.47,140.33,75,42,9.64,81.81
hithadhoo,-0.6,73.08,71,36,5.17,82.94
mataura,-46.19,168.86,80,53,13.0,59.0
castro,-24.79,-50.01,96,25,10.67,53.4
pamanukan,-6.28,107.81,78,100,1.79,80.65
sao jose da coroa grande,-8.9,-35.15,80,1,10.02,78.19
mpanda,-6.37,31.04,54,34,3.11,72.91
lebu,-37.62,-73.65,71,0,7.7,53.2
kefamenanu,-9.45,124.48,61,19,0.89,79.97
calama,-22.47,-68.93,12,0,19.46,71.6
rio gallegos,-51.62,-69.22,87,90,3.36,46.4
emerald,-23.53,148.17,42,0,14.99,82.0
novo aripuana,-5.12,-60.38,71,94,1.97,79.92
boa viagem,-5.13,-39.73,56,85,5.06,83.35
taltal,-25.4,-70.48,75,25,5.26,59.13
pisco,-13.7,-76.22,82,0,4.7,66.2
nioaque,-21.14,-55.83,38,0,3.58,76.68
mareeba,-17.0,145.43,65,31,9.17,84.0
nelson bay,-32.72,152.15,82,75,23.04,68.0
matadi,-5.82,13.45,87,79,3.22,77.25
tautira,-17.73,-149.15,78,75,11.41,80.6
illapel,-31.63,-71.17,66,96,4.43,60.26
vanimo,-2.67,141.3,83,100,5.46,79.59
cape town,-33.93,18.42,68,0,5.82,70.0
acarau,-2.89,-40.12,78,18,12.82,79.77
paciran,-6.88,112.38,83,97,6.35,79.79
remanso,-9.62,-42.08,86,100,5.68,72.41
dom pedro,-4.48,-44.45,93,100,2.39,75.76
obidos,-1.92,-55.52,77,68,2.08,80.4
arraial do cabo,-22.97,-42.03,88,75,8.05,69.8
formosa,-26.18,-58.18,31,0,8.05,78.8
beloha,-25.17,45.05,90,20,6.06,66.63
rawson,-43.3,-65.1,21,47,22.62,72.18
valparaiso,-33.04,-71.63,71,0,13.87,60.8
gweru,-19.45,29.82,81,61,6.4,63.61
quatre cocos,-20.21,57.76,78,75,6.93,71.6
geraldton,-28.77,114.6,46,0,12.75,69.8
burnie,-41.07,145.92,48,0,18.99,53.01
honiara,-9.43,159.95,88,90,4.7,78.8
richards bay,-28.78,32.04,87,100,5.59,73.15
luanda,-8.84,13.23,88,20,4.7,77.0
san carlos de bariloche,-41.15,-71.31,81,40,26.4,42.8
byron bay,-28.65,153.62,69,28,4.7,78.01
crib point,-38.35,145.2,55,71,19.69,57.0
kununurra,-15.77,128.73,78,1,1.12,80.6
port lincoln,-34.73,135.87,60,70,12.82,56.44
ngunguru,-35.62,174.5,97,100,15.99,64.99
banjar,-8.19,114.97,73,79,3.31,80.44
mwene-ditu,-7.0,23.45,96,98,3.76,67.28
moindou,-21.69,165.68,65,75,10.29,82.4
namibe,-15.2,12.15,72,0,8.61,67.48
salinopolis,-0.61,-47.36,80,37,13.22,81.75
mwaya,-9.55,33.95,51,28,2.44,76.35
sao joao da barra,-21.64,-41.05,82,86,10.0,71.76
kavieng,-2.57,150.8,89,100,5.5,77.94
waingapu,-9.66,120.26,68,9,5.21,81.84
samarai,-10.62,150.67,81,65,10.63,81.1
souillac,-20.52,57.52,78,75,6.93,71.6
tevaitoa,-16.78,-151.5,80,66,15.66,80.06
bambous virieux,-20.34,57.76,78,75,6.93,71.6
imbituba,-28.24,-48.67,52,40,12.75,64.4
isangel,-19.55,169.27,71,100,2.64,80.83
san vicente,-26.62,-54.13,41,0,5.99,63.03
uige,-7.61,15.06,94,100,2.62,68.25
bengkulu,-3.8,102.27,85,100,4.09,75.31
coquimbo,-29.95,-71.34,76,75,10.29,57.2
lindi,-10.0,39.72,88,20,4.32,69.8
coihaique,-45.58,-72.07,61,40,3.36,50.0
carnarvon,-24.87,113.63,100,0,12.75,69.8
moanda,-1.56,13.22,98,100,0.49,70.75
omboue,-1.57,9.26,91,100,1.92,75.47
airai,-8.93,125.41,51,38,2.46,70.74
saurimo,-9.66,20.39,94,100,3.83,65.1
quthing,-30.4,27.7,71,66,4.45,61.74
amuntai,-2.42,115.25,93,53,1.3,76.35
port shepstone,-30.74,30.45,83,97,2.15,70.41
morondava,-20.28,44.28,82,1,2.93,74.05
henties bay,-22.12,14.28,88,2,0.54,60.01
san jeronimo,-11.95,-75.28,54,38,6.46,57.33
alofi,-19.06,-169.92,74,75,20.8,78.8
saldanha,-33.01,17.94,82,98,5.82,62.6
noumea,-22.28,166.46,65,75,10.29,82.4
denpasar,-8.65,115.22,83,64,6.11,80.49
mangochi,-14.48,35.26,47,67,1.99,77.23
karratha,-20.74,116.85,29,0,6.58,82.49
mayumba,-3.43,10.66,89,86,0.47,76.98
belmonte,-15.86,-38.88,94,75,2.24,69.8
inhambane,-23.86,35.38,86,94,9.4,74.53
maxixe,-23.86,35.35,87,94,8.34,73.92
santa maria,-29.68,-53.81,40,0,10.29,68.0
pucallpa,-8.38,-74.55,49,40,8.05,91.4
ambilobe,-13.2,49.05,71,80,4.05,69.19
tual,-5.67,132.75,77,95,13.4,82.65
comodoro rivadavia,-45.87,-67.5,24,0,23.04,68.0
namatanai,-3.67,152.43,76,91,10.8,83.37
ahipara,-35.17,173.17,94,100,10.38,62.94
hervey bay,-25.3,152.85,57,5,14.99,82.0
ballina,-28.87,153.57,69,30,4.7,78.01
salta,-24.79,-65.41,24,0,13.87,80.6
innisfail,-17.53,146.03,37,28,1.01,80.01
tuatapere,-46.13,167.68,81,94,14.0,59.0
faanui,-16.48,-151.75,81,48,17.07,79.3
arica,-18.48,-70.3,68,0,11.41,66.2
constitucion,-35.33,-72.42,63,25,17.27,54.88
port hedland,-20.32,118.57,53,0,8.05,77.0
cidreira,-30.18,-50.21,62,23,7.96,60.89
sorong,-0.88,131.25,78,100,5.14,80.13
ruteng,-8.61,120.47,87,62,1.48,67.8
pailon,-17.65,-62.75,30,5,3.36,95.0
kindu,-2.95,25.95,96,97,0.51,71.13
santa isabel do rio negro,-0.41,-65.02,95,99,3.22,76.98
moroni,-11.7,43.26,72,34,4.36,75.94
pangkalanbuun,-2.68,111.62,97,100,1.88,73.74
bukama,-9.2,25.85,87,99,2.68,72.48
loa janan,-0.58,117.09,87,15,1.48,77.41
sola,-13.88,167.55,83,100,9.98,81.52
arandis,-22.42,14.97,88,0,4.03,60.01
talara,-4.58,-81.27,84,54,18.19,64.99
reyes,-14.32,-67.38,62,17,1.05,93.2
mucuri,-18.09,-39.55,86,100,9.98,72.72
mount isa,-20.73,139.5,46,0,12.75,89.6
tsabong,-26.02,22.4,56,95,13.76,71.53
kokopo,-4.35,152.26,69,99,3.62,84.58
te anau,-45.42,167.72,71,92,6.44,64.04
mancio lima,-7.61,-72.9,55,40,3.36,91.4
nosy varika,-20.58,48.53,82,69,7.9,72.63
ongandjera,-17.88,15.07,22,7,11.27,74.71
maldonado,-34.67,-54.92,63,0,17.22,62.6
itarema,-2.92,-39.92,77,9,12.75,79.9
